time_period,time_identifier,geographic_level,country_code,country_name,entry_age,characteristic_group,characteristic,tariff_group,entry_rate
200506,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
200506,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,10
200506,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
200506,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,10
200506,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,20
200506,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
200506,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,20
200506,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
200607,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,10
200607,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
200607,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,10
200607,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
200607,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
200607,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,20
200607,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
200607,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,20
200708,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,10
200708,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
200708,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,10
200708,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
200708,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,20
200708,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
200708,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,20
200708,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
200809,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,10
200809,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
200809,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,10
200809,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
200809,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,20
200809,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
200809,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,20
200809,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
200910,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
200910,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,10
200910,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
200910,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,10
200910,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,20
200910,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
200910,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,20
200910,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
201011,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
201011,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,10
201011,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
201011,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,10
201011,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,20
201011,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
201011,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,20
201011,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
201112,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
201112,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,10
201112,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
201112,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,10
201112,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
201112,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,20
201112,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
201112,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,20
201213,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,10
201213,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
201213,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,10
201213,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
201213,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,20
201213,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
201213,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,20
201213,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
201314,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,10
201314,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
201314,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,10
201314,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
201314,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
201314,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,20
201314,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
201314,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,20
201415,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
201415,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,Total,10
201415,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
201415,Academic year,National,E92000001,England,By Age 25,Care Leavers,All Other Pupils,High tariff,10
201415,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
201415,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,Total,20
201415,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
201415,Academic year,National,E92000001,England,By Age 25,Care Leavers,Care Leaver,High tariff,20
201516,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
201516,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
201516,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
201516,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
201617,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
201617,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
201617,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
201617,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
201718,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
201718,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
201718,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
201718,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
201819,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
201819,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
201819,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
201819,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
201920,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
201920,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
201920,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
201920,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
202021,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,Total,10
202021,Academic year,National,E92000001,England,By Age 19,Care Leavers,All Other Pupils,High tariff,10
202021,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,Total,20
202021,Academic year,National,E92000001,England,By Age 19,Care Leavers,Care Leaver,High tariff,20
201112,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,Total,10
201112,Academic year,National,E92000001,England,By Age 25,Children in Need,All Other Pupils,Total,10
201112,Academic year,National,E92000001,England,By Age 19,Children in Need,All Other Pupils,High tariff,10
201112,Academic year,National,E92000001,England,By Age 25,Children in Need,All Other Pupils,High tariff,10
201112,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,Total,20
201112,Academic year,National,E92000001,England,By Age 25,Children in Need,Children in Need,Total,20
201112,Academic year,National,E92000001,England,By Age 19,Children in Need,Children in Need,High tariff,20
201112,Academic year,National,E92000001,England,By Age 25,Children in Need,Children in Need,High tariff,20
